Date,Investment Category,Type,Stock,Transacted Units,Transacted Price (per unit),Fees,Stock Split Ratio,Previous Units,Cumulative Units,Transacted Value,Previous Cost,Cost of Transaction,Avg Stock Price,Cumulative Cost,Gains/Losses from Sale,Realised Gains/Losses %,,,,,,,
2021-01-21,HK Stock SHK,Buy,3690,1300,$380.20,"$1,788.53",0.0,0,1300,"$496,048.53",$0.00,-,-,"$496,048.53",$0.00,,,IB,,,,,
2021-09-09,HK Stock SHK,Buy,1772,2000,$157.80,$618.96,0.0,0,2000,"$316,218.96",$0.00,-,-,"$316,218.96",$0.00,,,Fund In,Fund Out,Other In/out,Currency ,Cash Balance,Balanace as at 
2021-10-27,HK Stock SHK,Buy,2013,5000,$12.14,$240.48,0.0,0,5000,"$60,940.48",$0.00,-,-,"$60,940.48",$0.00,,,"$7,200,000.00","-$8,059,974.65","$3,531,934.69",HKD,"2,671,960.04",2025/09/04
2021-11-03,HK Stock SHK,Buy,2013,5000,$11.56,$229.95,0.0,5000,10000,"$58,029.95","$60,940.48",-,-,"$118,970.43",$0.00,,,"$5,050,000.00","-$6,504,518.31","$3,353,708.79",USD,"1,899,190.48",2025/09/04
2021-10-27,HK Stock SHK,Buy,0968,6000,$15.38,$362.80,0.0,0,6000,"$92,642.80",$0.00,-,-,"$92,642.80",$0.00,,,,,,,,
2021-11-01,HK Stock SHK,Buy,2269,1000,$110.80,$435.53,0.0,0,1000,"$111,235.53",$0.00,-,-,"$111,235.53",$0.00,,,Citi SG,,,,,
2021-10-19,HK Stock Citi SG,Buy,0823,3073,$68.15,$588.42,0.0,0,3073,"$210,013.37",$0.00,-,-,"$210,013.37",$0.00,,,Fund In,Fund Out,Other In/out,Currency ,Cash Balance,Balanace as at 
2021-10-19,HK Stock Citi SG,Buy,0388,400,$476.20,$548.38,0.0,0,400,"$191,028.38",$0.00,-,-,"$191,028.38",$0.00,,,"$500,000.00","-$531,762.71","$64,372.65",HKD,"32,609.94",2025/09/04
2022-02-25,HK Stock IB,Buy,0388,1300,$389.80,"$1,079.83",0.0,400,1700,"$507,819.83","$191,028.38",-,-,"$698,848.21",$0.00,,,"$200,000.00","-$153,807.58","$142,399.87",USD,"188,592.29",2025/09/04
2022-03-04,HK Stock IB,Buy,0388,1500,$353.80,"$1,129.67",0.0,1700,3200,"$531,829.67","$698,848.21",-,-,"$1,230,677.88",$0.00,,,,,,,,
2022-03-07,HK Stock IB,Buy,3690,3400,$148.00,"$1,073.97",0.0,1300,4700,"$504,273.97","$496,048.53",-,-,"$1,000,322.50",$0.00,,,SHK,,,,,
2022-03-09,HK Stock IB,Buy,0388,1600,$324.00,"$1,105.49",0.0,3200,4800,"$519,505.49","$1,230,677.88",-,-,"$1,750,183.37",$0.00,,,Fund In,Fund Out,Other In/out,Currency ,Cash Balance,Balanace as at 
2022-03-11,HK Stock IB,Buy,0388,1500,$347.40,"$1,109.73",0.0,4800,6300,"$522,209.73","$1,750,183.37",-,-,"$2,272,393.10",$0.00,,,"$3,777,000.00","-$13,235,387.37","$10,639,378.21",HKD,"1,180,990.84",2025/09/04
